Geo_NAME,Geo_QName,Geo_FIPS,Geo_SUMLEV,Geo_GEOCOMP,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUNTYSC,Geo_COUSUB,Geo_TRACT,SE_T001_001
"Census Tract 1","Census Tract 1, Bronx County, New York","36005000100","140","00","21","36","005","21",,"000100",12780
"Census Tract 2","Census Tract 2, Bronx County, New York","36005000200","140","00","21","36","005","21",,"000200",3545
"Census Tract 4","Census Tract 4, Bronx County, New York","36005000400","140","00","21","36","005","21",,"000400",3314
"Census Tract 5","Census Tract 5, Bronx County, New York","36005000500","140","00","21","36","005","21",,"000500",0
"Census Tract 11","Census Tract 11, Bronx County, New York","36005001100","140","00","21","36","005","21",,"001100",559
"Census Tract 15","Census Tract 15, Bronx County, New York","36005001500","140","00","21","36","005","21",,"001500",19
"Census Tract 16","Census Tract 16, Bronx County, New York","36005001600","140","00","21","36","005","21",,"001600",5237
"Census Tract 17","Census Tract 17, Bronx County, New York","36005001700","140","00","21","36","005","21",,"001700",1006
"Census Tract 20","Census Tract 20, Bronx County, New York","36005002000","140","00","21","36","005","21",,"002000",9068
"Census Tract 23","Census Tract 23, Bronx County, New York","36005002300","140","00","21","36","005","21",,"002300",4338
"Census Tract 24","Census Tract 24, Bronx County, New York","36005002400","140","00","21","36","005","21",,"002400",0
"Census Tract 25","Census Tract 25, Bronx County, New York","36005002500","140","00","21","36","005","21",,"002500",5109
"Census Tract 27.01","Census Tract 27.01, Bronx County, New York","36005002701","140","00","21","36","005","21",,"002701",3033
"Census Tract 27.02","Census Tract 27.02, Bronx County, New York","36005002702","140","00","21","36","005","21",,"002702",4736
"Census Tract 28","Census Tract 28, Bronx County, New York","36005002800","140","00","21","36","005","21",,"002800",5718
"Census Tract 31","Census Tract 31, Bronx County, New York","36005003100","140","00","21","36","005","21",,"003100",1478
"Census Tract 33","Census Tract 33, Bronx County, New York","36005003300","140","00","21","36","005","21",,"003300",3116
"Census Tract 35","Census Tract 35, Bronx County, New York","36005003500","140","00","21","36","005","21",,"003500",3473
"Census Tract 36","Census Tract 36, Bronx County, New York","36005003600","140","00","21","36","005","21",,"003600",7529
"Census Tract 37","Census Tract 37, Bronx County, New York","36005003700","140","00","21","36","005","21",,"003700",478
"Census Tract 38","Census Tract 38, Bronx County, New York","36005003800","140","00","21","36","005","21",,"003800",1263
"Census Tract 39","Census Tract 39, Bronx County, New York","36005003900","140","00","21","36","005","21",,"003900",6022
"Census Tract 40.01","Census Tract 40.01, Bronx County, New York","36005004001","140","00","21","36","005","21",,"004001",1420
"Census Tract 40.02","Census Tract 40.02, Bronx County, New York","36005004002","140","00","21","36","005","21",,"004002",1
"Census Tract 41","Census Tract 41, Bronx County, New York","36005004100","140","00","21","36","005","21",,"004100",5240
"Census Tract 43","Census Tract 43, Bronx County, New York","36005004300","140","00","21","36","005","21",,"004300",4789
"Census Tract 44","Census Tract 44, Bronx County, New York","36005004400","140","00","21","36","005","21",,"004400",4671
"Census Tract 46","Census Tract 46, Bronx County, New York","36005004600","140","00","21","36","005","21",,"004600",1428
"Census Tract 47","Census Tract 47, Bronx County, New York","36005004700","140","00","21","36","005","21",,"004700",5387
"Census Tract 48","Census Tract 48, Bronx County, New York","36005004800","140","00","21","36","005","21",,"004800",3678
"Census Tract 49","Census Tract 49, Bronx County, New York","36005004900","140","00","21","36","005","21",,"004900",246
"Census Tract 50","Census Tract 50, Bronx County, New York","36005005000","140","00","21","36","005","21",,"005000",10740
"Census Tract 52","Census Tract 52, Bronx County, New York","36005005200","140","00","21","36","005","21",,"005200",2186
"Census Tract 53.01","Census Tract 53.01, Bronx County, New York","36005005301","140","00","21","36","005","21",,"005301",34
"Census Tract 53.02","Census Tract 53.02, Bronx County, New York","36005005302","140","00","21","36","005","21",,"005302",4161
"Census Tract 54","Census Tract 54, Bronx County, New York","36005005400","140","00","21","36","005","21",,"005400",5550
"Census Tract 56","Census Tract 56, Bronx County, New York","36005005600","140","00","21","36","005","21",,"005600",2710
"Census Tract 57","Census Tract 57, Bronx County, New York","36005005700","140","00","21","36","005","21",,"005700",858
"Census Tract 58","Census Tract 58, Bronx County, New York","36005005800","140","00","21","36","005","21",,"005800",5
"Census Tract 59.01","Census Tract 59.01, Bronx County, New York","36005005901","140","00","21","36","005","21",,"005901",4972
"Census Tract 59.02","Census Tract 59.02, Bronx County, New York","36005005902","140","00","21","36","005","21",,"005902",2682
"Census Tract 60","Census Tract 60, Bronx County, New York","36005006000","140","00","21","36","005","21",,"006000",1081
"Census Tract 61","Census Tract 61, Bronx County, New York","36005006100","140","00","21","36","005","21",,"006100",4039
"Census Tract 62","Census Tract 62, Bronx County, New York","36005006200","140","00","21","36","005","21",,"006200",6399
"Census Tract 64","Census Tract 64, Bronx County, New York","36005006400","140","00","21","36","005","21",,"006400",3967
"Census Tract 65","Census Tract 65, Bronx County, New York","36005006500","140","00","21","36","005","21",,"006500",4655
"Census Tract 66","Census Tract 66, Bronx County, New York","36005006600","140","00","21","36","005","21",,"006600",4113
"Census Tract 67","Census Tract 67, Bronx County, New York","36005006700","140","00","21","36","005","21",,"006700",6491
"Census Tract 68","Census Tract 68, Bronx County, New York","36005006800","140","00","21","36","005","21",,"006800",3209
"Census Tract 69","Census Tract 69, Bronx County, New York","36005006900","140","00","21","36","005","21",,"006900",4323
"Census Tract 70","Census Tract 70, Bronx County, New York","36005007000","140","00","21","36","005","21",,"007000",4160
"Census Tract 71","Census Tract 71, Bronx County, New York","36005007100","140","00","21","36","005","21",,"007100",1885
"Census Tract 72","Census Tract 72, Bronx County, New York","36005007200","140","00","21","36","005","21",,"007200",5073
